DATE FERM.;VL;Variation;
31/12/2025; 1 602,82 ;;
2/01/2026; 1 603,95 ;0,07%;
5/01/2026; 1 604,84 ;0,06%;
6/01/2026; 1 604,90 ;0,00%;
7/01/2026; 1 605,67 ;0,05%;
8/01/2026; 1 605,45 ;-0,01%;
9/01/2026; 1 605,65 ;0,01%;
12/01/2026; 1 606,68 ;0,06%;
13/01/2026; 1 606,78 ;0,01%;
14/01/2026; 1 606,56 ;-0,01%;
15/01/2026; 1 607,63 ;0,07%;
16/01/2026; 1 608,91 ;0,08%;
19/01/2026; 1 608,93 ;0,00%;
20/01/2026; 1 609,18 ;0,02%;
21/01/2026; 1 606,12 ;-0,19%;
22/01/2026; 1 606,31 ;0,01%;
23/01/2026; 1 608,10 ;0,11%;
26/01/2026; 1 610,45 ;0,15%;
27/01/2026; 1 611,58 ;0,07%;
28/01/2026; 1 615,02 ;0,21%;
29/01/2026; 1 614,96 ;0,00%;
30/01/2026; 1 615,69 ;0,05%;
2/02/2026; 1 615,38 ;-0,02%;
3/02/2026; 1 581,35 ;-2,11%;
4/02/2026; 1 581,31 ;0,00%;
