DATE FERM.;VL;Variation
31/12/2025;1499,64;
2/01/2026;1500,04;0,03%
5/01/2026;1500,65;0,04%
6/01/2026;1500,84;0,01%
7/01/2026;1500,92;0,01%
8/01/2026;1501,08;0,01%
9/01/2026;1501,77;0,05%
12/01/2026;1502,31;0,04%
13/01/2026;1502,53;0,01%
14/01/2026;1494,95;-0,50%
15/01/2026;1497,20;0,15%
16/01/2026;1501,39;0,28%
19/01/2026;1501,98;0,04%
20/01/2026;1502,16;0,01%
21/01/2026;1501,53;-0,04%
22/01/2026;1489,47;-0,80%
23/01/2026;1484,53;-0,33%
26/01/2026;1485,27;0,05%
27/01/2026;1483,87;-0,09%
28/01/2026;1482,50;-0,09%
29/01/2026;1484,44;0,13%
30/01/2026;1501,43;1,14%
2/02/2026;1498,41;-0,20%
3/02/2026;1505,15;0,45%
4/02/2026;1503,57;-0,10%
