date;valeur
02/01/2014;230.89
03/01/2014;230.29
06/01/2014;230.64
07/01/2014;232.38
08/01/2014;231.8
09/01/2014;230.98
10/01/2014;232.16
14/01/2014;231.34
15/01/2014;234.18
16/01/2014;236.19
17/01/2014;237.86
20/01/2014;241.99
21/01/2014;241.94
22/01/2014;242.53
23/01/2014;242.17
24/01/2014;244.42
27/01/2014;245.29
28/01/2014;247.01
29/01/2014;248.12
30/01/2014;248.56
31/01/2014;246.65
03/02/2014;245.56
04/02/2014;244.85
05/02/2014;246.42
06/02/2014;247.01
07/02/2014;246.29
10/02/2014;244.94
11/02/2014;246.69
12/02/2014;246.34
13/02/2014;244.96
14/02/2014;244.58
17/02/2014;244.59
18/02/2014;243.72
19/02/2014;244.82
20/02/2014;244.78
21/02/2014;243.4
24/02/2014;242.66
25/02/2014;239.04
26/02/2014;235.84
27/02/2014;238.13
28/02/2014;240.51
03/03/2014;243.29
04/03/2014;243.83
05/03/2014;242.78
06/03/2014;244.19
07/03/2014;246.37
10/03/2014;245.08
11/03/2014;244.71
12/03/2014;243.97
13/03/2014;238.13
14/03/2014;242.52
17/03/2014;242.21
18/03/2014;240.59
19/03/2014;240.13
20/03/2014;240.81
21/03/2014;239.76
24/03/2014;238.34
25/03/2014;240.21
26/03/2014;239.95
27/03/2014;239.71
28/03/2014;240.61
31/03/2014;240.39
01/04/2014;241.65
02/04/2014;241.94
03/04/2014;244.41
04/04/2014;245.12
07/04/2014;244.72
08/04/2014;242.55
09/04/2014;241.11
10/04/2014;240.74
11/04/2014;240.53
14/04/2014;240.53
15/04/2014;238.81
16/04/2014;238.72
17/04/2014;238.42
18/04/2014;238.93
22/04/2014;239.69
23/04/2014;239.85
24/04/2014;239.42
25/04/2014;241.07
28/04/2014;239.65
29/04/2014;238.57
30/04/2014;238.01
02/05/2014;229.85
05/05/2014;224.15
06/05/2014;219.81
07/05/2014;220.61
08/05/2014;225.85
09/05/2014;227.1
12/05/2014;228.82
13/05/2014;230.72
14/05/2014;228.68
15/05/2014;229.07
16/05/2014;229.74
19/05/2014;229.44
20/05/2014;230.85
21/05/2014;229.79
22/05/2014;230.7
23/05/2014;232.31
26/05/2014;232.31
27/05/2014;230.82
28/05/2014;230.17
30/05/2014;230.61
02/06/2014;231.17
03/06/2014;230.64
04/06/2014;230.47
05/06/2014;231.89
06/06/2014;232.13
10/06/2014;232.3
11/06/2014;232.1
12/06/2014;232.7
13/06/2014;231.83
16/06/2014;233.58
17/06/2014;234.0
18/06/2014;233.88
19/06/2014;234.12
20/06/2014;234.59
23/06/2014;234.06
24/06/2014;234.07
25/06/2014;235.06
26/06/2014;233.66
27/06/2014;235.38
30/06/2014;238.6
01/07/2014;237.43
02/07/2014;235.98
03/07/2014;234.79
04/07/2014;235.71
07/07/2014;235.69
08/07/2014;235.75
09/07/2014;234.78
10/07/2014;235.99
11/07/2014;236.38
14/07/2014;237.42
15/07/2014;237.58
16/07/2014;237.34
17/07/2014;238.2
18/07/2014;237.13
21/07/2014;237.7
22/07/2014;237.86
23/07/2014;238.41
25/07/2014;237.26
